Title,Address,Price($),Date Posted,Building Type,Bedrooms,Bathrooms,Utilities,Wi-Fi and More,Parking Included,Agreement Type,Move-In Date,Pet Friendly,Size (sqft),Furnished,Air Conditioning,Personal Outdoor Space,Smoking Permitted,Appliances,Amenities,Description,Visit Counter,url,rentcast_id,last_seen_date,status
"Standard - , ,  ",", ,  ",4995,2025-11-06T00:00:00.000Z,Apartment,2,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"411-E-12th-St,-Unit-22,-New-York,-NY-10009",2025-11-06T04:17:55.759Z,Active
"Standard - , ,  ",", ,  ",4150,2025-11-06T00:00:00.000Z,Apartment,2,1,Not Specified,Not Specified,No,,,No,1100,No,No,None,No,,,,0,,"539-W-49th-St,-Unit-1DD,-New-York,-NY-10019",2025-11-06T04:17:55.758Z,Active
"Standard - , ,  ",", ,  ",2695,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"358-W-51st-St,-Apt-Ec,-New-York,-NY-10019",2025-11-06T04:17:55.757Z,Active
"Standard - , ,  ",", ,  ",4150,2025-11-06T00:00:00.000Z,Apartment,2,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"533-W-49th-St,-Unit-1R,-New-York,-NY-10019",2025-11-06T04:17:55.755Z,Active
"Standard - , ,  ",", ,  ",2750,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,500,No,No,None,No,,,,0,,"401-W-15th-St,-New-York,-NY-10011",2025-11-06T04:17:55.745Z,Active
"Standard - , ,  ",", ,  ",4500,2018-11-15T00:00:00.000Z,Condo,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"130-E-63rd-St,-Apt-10F,-New-York,-NY-10065",2025-11-06T04:17:55.744Z,Active
"Standard - , ,  ",", ,  ",4300,2025-11-06T00:00:00.000Z,Apartment,2,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"340-E-55th-St,-Apt-5B,-New-York,-NY-10022",2025-11-06T04:17:55.736Z,Active
"Standard - , ,  ",", ,  ",3850,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,500,No,No,None,No,,,,0,,"222-E-12th-St,-Unit-3CC,-New-York,-NY-10003",2025-11-06T04:17:55.735Z,Active
"Standard - , ,  ",", ,  ",6900,2025-11-06T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,1250,No,No,None,No,,,,0,,"240-E-82nd-St,-Unit-11EE,-New-York,-NY-10028",2025-11-06T04:17:55.734Z,Active
"Standard - , ,  ",", ,  ",7450,2025-11-06T00:00:00.000Z,Apartment,3,1,Not Specified,Not Specified,No,,,No,1050,No,No,None,No,,,,0,,"33-Crosby-St,-Unit-3FF,-New-York,-NY-10013",2025-11-06T04:17:55.733Z,Active
"Standard - , ,  ",", ,  ",7950,2025-11-06T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,1350,No,No,None,No,,,,0,,"1-Astor-Pl,-Unit-3TT,-New-York,-NY-10003",2025-11-06T04:17:55.733Z,Active
"Standard - , ,  ",", ,  ",4850,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"145-4th-Ave-Ph-N,-New-York,-NY-10003",2025-11-06T04:17:55.731Z,Active
"Standard - , ,  ",", ,  ",4500,2025-11-06T00:00:00.000Z,Apartment,3,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"115-Lexington-Ave,-Unit-6,-New-York,-NY-10016",2025-11-06T04:17:55.730Z,Active
"Standard - , ,  ",", ,  ",2895,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"417-W-56th-St,-Unit-C2,-New-York,-NY-10019",2025-11-06T04:17:55.730Z,Active
"Standard - , ,  ",", ,  ",2695,2025-11-06T00:00:00.000Z,Apartment,1,1,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"951-Amsterdam-Ave,-Apt-3B,-New-York,-NY-10025",2025-11-06T04:17:55.729Z,Active
"Standard - , ,  ",", ,  ",10935,2025-11-06T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"335-8th-Ave,-Unit-317,-New-York,-NY-10001",2025-11-06T04:17:55.728Z,Active
"Standard - , ,  ",", ,  ",11995,2020-05-22T00:00:00.000Z,Apartment,3,2,Not Specified,Not Specified,No,,,No,1650,No,No,None,No,,,,0,,"261-Hudson-St,-Ph-2L,-New-York,-NY-10013",2025-11-06T04:17:55.722Z,Active
"Standard - , ,  ",", ,  ",6000,2020-06-10T00:00:00.000Z,Apartment,2,2,Not Specified,Not Specified,No,,,No,,No,No,None,No,,,,0,,"372-Central-Park-W,-Apt-10C,-New-York,-NY-10025",2025-11-06T04:17:55.722Z,Active
"Standard - , ,  ",", ,  ",4600,2025-11-06T00:00:00.000Z,Apartment,0,1,Not Specified,Not Specified,No,,,No,400,No,No,None,No,,,,0,,"222-E-12th-St,-Unit-4CC,-New-York,-NY-10003",2025-11-06T04:17:55.721Z,Active
